artifact;repository
org.tinygroup:container;scm:svn:http://https://svn.code.sf.net/p/tinyorg/code/tags/tiny-0.0.12/trunk/opensource/container
org.tinygroup.annotation.0.0.12.tinygroup:tiny; https://svn.code.sf.net/p/tinyorg/code/tags/tiny-0.0.12 
org.lazyluke:log4jdbc-remix;scm:svn:https://log4jdbc-remix.googlecode.com/svn/tags/log4jdbc-remix-0.2.7
org.sapia:sapia_global;scm:svn:https://sapia.googlecode.com/svn/tags/sapia_global-1.8
org.sapia:sapia_utils_parent;scm:svn:https://sapia.googlecode.com/svn/tags/sapia_utils_parent-2.1
org.sapia:utils;scm:svn:https://sapia.googlecode.com/svn/branches/utils/utils-0.2
org.sapia:sapia_regis;scm:svn:https://sapia.googlecode.com/svn/trunk/tags/sapia_regis-3.1
org.sapia:sapia_corus_interop_parent;scm:svn:https://sapia.googlecode.com/svn/tags/sapia_corus_interop_parent-2.0
org.rribbit:rribbit;scm:svn:https://svn.rribbit.org
org.sapia:sapia_utils;scm:svn:https://sapia.googlecode.com/svn/tags/sapia_utils_parent-2.1
org.sapia:sapia_vlad;scm:svn:https://sapia.googlecode.com/svn/tags/sapia_vlad-2.0
org.sapia:sapia_site_parent;scm:svn:https://sapia.googlecode.com/svn/branches/tags/sapia_site_parent-1.12
org.sapia:sapia_resource;scm:svn:https://sapia.googlecode.com/svn/tags/sapia_resource-1.2
org.sapia:sapia_archie;scm:svn:https://sapia.googlecode.com/svn/branches/archie/sapia_archie-1.0.1
org.sapia:sapia_clazzy;scm:svn:https://sapia.googlecode.com/svn/branches/clazzy/sapia_clazzy-2.0
org.sapia:sapia_console;scm:svn:https://sapia.googlecode.com/svn/branches/console/sapia_console-1.4
org.sapia:sapia_qool;scm:svn:https://sapia.googlecode.com/svn/branches/qool/sapia_qool-1.3
org.sapia:sapia_ubik;scm:svn:https://sapia.googlecode.com/svn/tags/sapia_ubik-2.5.7
com.novell.ldap:jldap;git://git.openldap.org/openldap-jldap.git
org.reflexiveframework:reflexive;scm:svn:https://reflexive.svn.sourceforge.net/svnroot/reflexive/trunk
org.reddwarfserver.server:sgs-shared; https://svn.reddwarfserver.org/svnroot/reddwarf/sgs-shared/trunk 
org.restcomm.media.client.mgcp:mgcp-driver; http://mobicents.googlecode.com/svn/trunk/protocols/jain-mgcp/stack/ 
org.reddwarfserver.client:sgs-client-parent; https://svn.reddwarfserver.org/svnroot/reddwarf/sgs-java-client/trunk 
org.restcomm.media.client.mgcp:driver; http://mobicents.googlecode.com/svn/trunk/protocols/jain-mgcp/stack/ 
org.reddwarfserver.server:sgs-server-parent; https://svn.reddwarfserver.org/svnroot/reddwarf/sgs-server/trunk 
org.mobicents.media.client:mgcp-driver; http://mobicents.googlecode.com/svn/trunk/protocols/jain-mgcp/stack/ 
org.picocontainer.web:picocontainer-web;scm:svn:https://svn.codehaus.org/picocontainer/java/2.x/tags/picocontainer-web-2.5.1
org.ow2.petals:petals-jmx;scm:svn:https://svn.petalslink.org/svnroot/tags-legacy/petals/petals-jmx-1.10.1
org.ow2.petals:petals-bc-quartz;/tags/petals-bc-quartz-1.8.0
org.ow2.easywsdl:easywsdl-tool-java2wsdl;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-root-parent-21.0.0
org.ow2.easywsdl:easywsdl-ext-sawsdl;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-root-parent-21.0.0
org.ow2.petals:petals-cli-base-junit;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-cli-base-junit-2.2.0
org.ow2.jasmine.jade.wrapper:JoramBundle; http://fisheye.easybeans.org/browse/JASMINe/jasmine/trunk/jasmine-jade/org.ow2.jasmine.jade.wrapper.joram 
org.ow2.petals:petals-sample-clock;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-sample-clock-1.10.0
org.ow2.proactive:scheduling-scheduler-core; https://gforge.inria.fr/scm/viewvc.php/scheduling/trunk/?root=proactive 
org.ow2.petals:petals-components-sls-parent;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-parent-20.2.2.2
org.owasp.esapi.contrib:esapi-spring-encryptedproperties;scm:svn:https://owasp-esapi-java.googlecode.com/svn/contrib/spring/encryptedproperties/esapi-spring-encryptedproperties/tags/esapi-spring-encryptedproperties-1.0.0
org.ow2.petals:petals-se-jsr181;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-se-jsr181-1.6.0
org.ow2.petals:petals-se-jsr181-parent;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-se-jsr181-parent-1.6.0
org.ow2.petals:petals-cli-base;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-cli-base-1.2.0
org.ow2.petals:petals-se-jsr181-library;scm:svn:https://svn.petalslink.org/svnroot/tags/petals-se-jsr181-library-1.6.0
org.ow2.proactive:scheduling-common-core; https://gforge.inria.fr/scm/viewvc.php/scheduling/trunk/?root=proactive 
org.objectweb.fractal.fractalexplorer:fractal-explorer; http://svn.forge.objectweb.org/cgi-bin/viewcvs.cgi/fractal/trunk 
org.apache.felix:org.apache.felix.ipojo.arch;scm:svn:https://svn.apache.org/repos/asf/felix/releases/org.apache.felix.ipojo.arch-1.6.0
org.ops4j.peaberry.build:parent;scm:svn:https://peaberry.googlecode.com/svn/tags/1.3/parent
org.ops4j.pax:master;scm:svn:https://scm.ops4j.org/repos/ops4j/qa/pax/master-3.1.3
org.openxri:openxri; http://openxri.svn.sourceforge.net/viewvc/openxri/openxri4j/trunk/ 
com.googlecode.pojosr:de.kalpatec.pojosr.framework;scm:svn:https://pojosr.googlecode.com/svn/tags/de.kalpatec.pojosr.framework-0.2.1
org.ogema.external:org.apache.felix.useradmin;scm:svn:https://svn.apache.org/repos/asf/felix/releases/org.apache.felix.useradmin-1.0.3
org.ogema.external:org.apache.felix.useradmin.filestore;scm:svn:https://svn.apache.org/repos/asf/felix/releases/org.apache.felix.useradmin.filestore-1.0.2
org.onosproject:org.apache.felix.framework.security;scm:svn:https://svn.apache.org/repos/asf/felix/releases/org.apache.felix.framework.security-2.2.0
org.objectweb.fractal.cecilia:maven-archetype-cecilia-library;${scm.url}/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia/${project.artifactId}
org.nutz:jst;git://gitee.com/nutz/jst.git
org.objectweb.fractal.cecilia:cecilia;${scm.url}/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia
org.objectweb.fractal.cecilia:cecilia-baselib;${scm.url}/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia-baselib
org.objectweb.petals:petals-parent; http://svn.forge.objectweb.org/cgi-bin/viewcvs.cgi/petals/trunk/ 
org.objectweb.fractal.cecilia.toolchain:idl-parser;${scm.url}/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/idl-parser
org.objectweb.think.minus:st231;scm:svn:http://svn.mpcom.codex.cro.st.com/svnroot/mpcom/minus/tags/minus-1.0/minus/st231
org.objectweb.fractal.cecilia:maven-car-plugin;${scm.url}/cecilia/maven-plugins/cecilia/maven-plugins/cecilia/maven-plugins/cecilia/maven-plugins/cecilia/maven-plugins/cecilia/maven-plugins/cecilia/maven-plugins/${project.artifactId}
org.objectweb.think.minus:st200;scm:svn:http://svn.mpcom.codex.cro.st.com/svnroot/mpcom/minus/tags/minus-1.0/minus/st200
org.objectweb.fractal.cecilia:fractal-cecilia-api;${scm.url}/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia/cecilia/fractal-cecilia-api
org.objectweb.think.minus:stm8010;scm:svn:http://svn.mpcom.codex.cro.st.com/svnroot/mpcom/minus/tags/minus-1.0/minus/stm8010
org.objectweb.think.minus:X;scm:svn:http://svn.mpcom.codex.cro.st.com/svnroot/mpcom/minus/tags/minus-1.0/minus/posix
org.objectweb.fractal.cecilia.toolchain:task-codegen;${scm.url}/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/cecilia/toolchain/task-codegen
org.nuiton:maven-license-plugin; http://www.nuiton.org/repositories/browse/maven-license-plugin/tags/maven-license-plugin-3.0 
org.objectweb.think.minus:generic;scm:svn:http://svn.mpcom.codex.cro.st.com/svnroot/mpcom/minus/tags/minus-1.0/minus/generic
org.objectweb.petals:petals-components; http://svn.forge.objectweb.org/cgi-bin/viewcvs.cgi/petals/trunk/ 
org.objectweb.think.minus:libc;scm:svn:http://svn.mpcom.codex.cro.st.com/svnroot/mpcom/minus/tags/minus-1.0/minus/libc
org.objectweb.think.minus:posix;scm:svn:http://svn.mpcom.codex.cro.st.com/svnroot/mpcom/minus/tags/minus-1.0/minus/posix
org.objectweb.think.minus:lxsimenv;scm:svn:http://svn.mpcom.codex.cro.st.com/svnroot/mpcom/minus/tags/minus-1.0/minus/lxsimenv
org.neo4j:neo4j-remote-graphdb;scm:svn:https://svn.neo4j.org/components/remote-graphdb/tags/0.9-1.3.M01
org.neo4j:neo4j-utils;scm:svn:https://svn.neo4j.org/components/utils/tags/1.3-1.3.M01
org.mybatis:mybatis-docbook;scm:svn:https://mybatis.googlecode.com/svn/sub-projects/mybatis-docbook/tags/1.0.0
org.mvnpm:atob;git://git.coolaj86.com/coolaj86/atob.js
org.mybatis.caches:mybatis-caches-parent;scm:svn:http://mybatis.googlecode.com/svn/sub-projects/mybatis-guice/tags/1.0.0-RC1
org.mvnpm:btoa;git://git.coolaj86.com/coolaj86/btoa.js
org.mybatis:mybatis-hazelcast;scm:svn:http://mybatis.googlecode.com/svn/sub-projects/caches/tags/mybatis-hazelcast-1.0.0
org.mybatis.maven:maven-migration-plugin;scm:svn:http://mybatis.googlecode.com/svn/sub-projects/maven-migration-plugin/tags/maven-migration-plugin-1.0.0
org.mockwire:mockwire-guice3;scm:svn:http://source.stickycode.net/tags/org.mockwire/mockwire-guice3-2.2
org.mockwire:mockwire-spring3-ws;scm:svn:http://source.stickycode.net/tags/org.mockwire/mockwire-spring3-ws-2.1
org.mortbay.jetty:jetty-jsp;scm:svn:https://svn.codehaus.org/jetty/jsp/tags/jetty-jsp-9.1.1.B60.25.p2
org.mortbay.jetty:jetty-contrib-parent;scm:svn:https://svn.codehaus.org/jetty-contrib/tags/jetty-contrib-7.0.0.pre5
org.mortbay.jetty:jetty-project;scm:svn:https://svn.codehaus.org/jetty/jetty/tags/jetty-project-7.0.0.1beta1
org.mortbay.jetty:servlet-annotation-spec;scm:svn:https://svn.codehaus.org/jetty/servlet-annotation-spec/tags/servlet-annotation-spec-3.0.pre0
org.mortbay.jetty:jetty-parent;scm:git:http://git.codehaus.org/gitweb.cgi?p=jetty-parent.git
org.mockwire:mockwire-guice3-ws;scm:svn:http://source.stickycode.net/tags/org.mockwire/mockwire-guice3-ws-1.1
org.mockwire:mockwire-spring3;scm:svn:http://source.stickycode.net/tags/org.mockwire/mockwire-spring3-7.2
org.mortbay.jetty:example-jetty-spring;scm:svn:https://svn.codehaus.org/jetty/jetty/tags/jetty-7.0.0.RC5
org.mockwire:mockwire-spring30-ws;scm:svn:http://source.stickycode.net/tags/org.mockwire/mockwire-spring30-ws-1.1
org.mortbay.jetty:jetty-test-jaas-webapp;scm:svn:https://svn.codehaus.org/jetty/jetty/tags/jetty-test-jaas-webapp-7.0.0.1beta1
org.mockwire:mockwire-spring30;scm:svn:http://source.stickycode.net/tags/org.mockwire/mockwire-spring30-6.4
net.stickycode.mockwire:sticky-mockwire-spring3;scm:svn:http://source.stickycode.net/tags/net.stickycode.mockwire/sticky-mockwire-spring3-9.3
net.stickycode.mockwire:sticky-mockwire-guice3;scm:svn:http://source.stickycode.net/tags/net.stickycode.mockwire/sticky-mockwire-guice3-3.4
net.stickycode.ws:sticky-ws-cxf-guice3;scm:svn:http://source.stickycode.net/tags/net.stickycode.ws/sticky-ws-cxf-guice3-2.2
net.stickycode.ws:sticky-ws-testutils;scm:svn:http://source.stickycode.net/tags/net.stickycode.ws/sticky-ws-testutils-2.1
net.stickycode.ws:sticky-ws-cxf-spring3;scm:svn:http://source.stickycode.net/tags/net.stickycode.ws/sticky-ws-cxf-spring3-3.1
net.stickycode.mockwire:sticky-mockwire-spring30;scm:svn:http://source.stickycode.net/tags/net.stickycode.mockwire/sticky-mockwire-spring30-7.7
net.stickycode.ws:sticky-ws-cxf-spring30;scm:svn:http://source.stickycode.net/tags/net.stickycode.ws/sticky-ws-cxf-spring30-2.1
org.jvnet.sorcerer:sorcerer;scm:svn:https://sorcerer.dev.java.net/svn/sorcerer/tags/sorcerer-0.8
org.jvnet.ws.wadl:wadl;scm:svn:https://svn.java.net/svn/wadl~svn/tags/1.1.6/wadl
org.jmonit:jmonit; http://jmonit.svn.sourceforge.net/svnroot/jmonit/tags/1.0-alpha-2 
org.jencks:jencks-parent;scm:svn:https://svn.codehaus.org/jencks/tags/jencks-parent-2.2
org.jclarion:clarion-maven-plugin;scm:svn:https://clarion2java.svn.sourceforge.net/svnroot/clarion2java/plugin/tags/clarion-maven-plugin-1.20
org.jclarion:clarion-runtime;scm:svn:https://clarion2java.svn.sourceforge.net/svnroot/clarion2java/runtime/tags/clarion-runtime-1.86
org.jclarion:clarion-compile;scm:svn:https://clarion2java.svn.sourceforge.net/svnroot/clarion2java/compiler/tags/clarion-compile-1.20
org.jclarion:clarion-sysruntime;scm:svn:https://clarion2java.svn.sourceforge.net/svnroot/clarion2java/sysruntime/tags/clarion-sysruntime-1.16
org.jbox2d:jbox2d;scm:svn:https://jbox2d.googlecode.com/svn/tags/jbox2d-2.2.1.1
org.jboss.maven.plugins:maven-jdocbook-style-plugin;scm:svn:https://svn.jboss.org/repos/labs/labs/jbossbuild/maven-plugins/tags/maven-jdocbook-style-plugin-2.0.0
org.jboss.maven.plugins:maven-test-ext-plugin;scm:svn:https://svn.jboss.org/repos/labs/labs/jbossbuild/maven-plugins/tags/maven-test-ext-plugin-1.1.0
org.jamon:jamon-maven-plugin;scm:svn:https://svn.code.sf.net/p/jamon/code/releases/jamon-maven-plugin/jamon-maven-plugin-2.4.2
org.jamon:jamon-java-parent;scm:svn:https://svn.code.sf.net/p/jamon/code/releases/jamon-java-parent/jamon-java-parent-2.4.1
org.jamon:jamon-junit;scm:svn:https://svn.code.sf.net/p/jamon/code/releases/jamon-junit/jamon-junit-2.4.1
org.jamon:jamon-checkstyle;scm:svn:https://svn.code.sf.net/p/jamon/code/releases/jamon-checkstyle/jamon-checkstyle-2.3.1
org.jamon:jamon-api;scm:svn:https://svn.code.sf.net/p/jamon/code/releases/jamon-api/jamon-api-2.3.1
org.imixs.workflow:imixs-workflow-jsf;scm:svn:https://svn.java.net/svn/imixs-workflow~svn/imixs-workflow-jee/tags/imixs-workflow-jsf-2.1.1
org.ikasan:ikasan-client-connection;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.4
org.imixs.workflow:imixs-workflow-xml;scm:svn:https://svn.java.net/svn/imixs-workflow~svn/imixs-workflow-xml/tags/imixs-workflow-xml-2.1.1
org.imixs.workflow:imixs-workflow-api;scm:svn:https://svn.java.net/svn/imixs-workflow~svn/imixs-workflow-api/tags/imixs-workflow-api-2.1.2
org.ikasan.demo:demoTransformationRouting-app;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.4
org.ikasan.demo:demoTransformationRouting-frenchNumberTgt-jar;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.4
org.ikasan:ikasan-framework;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.4
org.ikasan.demo:demoTransformationRouting-germanWordSrc-jar;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.4
org.ikasan:ikasan-platform-jar;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.4
org.imixs.workflow:org.imixs.workflow.jee.api; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.imixs.workflow:org.imixs.workflow.jee.rest.services; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.imixs.workflow:imixs-workflow-jee-impl;scm:svn:https://svn.java.net/svn/imixs-workflow~svn/imixs-workflow-jee-impl/tags/imixs-workflow-jee-impl-2.1.4
org.imixs.workflow:org.imixs.workflow.manik.model; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.imixs.workflow:org.imixs.workflow.manik.project; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.ikasan:ikasaneip;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasaneip-0.9.1
org.imixs.workflow:org.imixs.workflow.jee.client-api; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.imixs.workflow:org.imixs.workflow.services.client; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.ikasan.demo:demoFileDelivery-ftpSource-jar;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.4
org.imixs.workflow:imixs-workflow-rest; scm:svn:https://svn.java.net/svn/imixs-workflow~svn/imixs-workflow-rest/tags/imixs-workflow-rest-2.1.2 
org.imixs.workflow:org.imixs.workflow.jee.jsf-util; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.ikasan:ikasan-project;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.3
org.ikasan.demo:demoFileDelivery-app-war;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.4
org.imixs.workflow:org.imixs.workflow.manik.profile; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.imixs.workflow:org.imixs.workflow.jee.adminclient.web; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.imixs.workflow:imixs-workflow-soap; scm:svn:https://imixs-workflow.dev.java.net/svn/imixs-workflow/imixs-workflow-soap/tags/imixs-workflow-soap-2.1.0 
org.imixs.workflow:imixs-workflow-adminclient; scm:svn:https://svn.java.net/svn/imixs-workflow~svn/imixs-workflow-adminclient/tags/imixs-workflow-adminclient-3.0.1 
org.ikasan.demo:demoTransformationRouting-parent;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.8.4
org.imixs.workflow:org.imixs.workflow.api; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.ikasan:ikasan-console-jar;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.7.11
org.imixs.application:imixs-workflow-jee-archetype; scm:svn:https://imixs-workflow.dev.java.net/svn/imixs-workflow/imixs-workflow-jee-archetype/tags/imixs-workflow-jee-archetype-0.0.4 
org.imixs.workflow:imixs-workflow-jee;scm:svn:https://svn.java.net/svn/imixs-workflow~svn/imixs-workflow-jee/tags/imixs-workflow-jee-2.1.4
org.ikasan:ikasan-platform-war;scm:svn:http://open.jira.com/svn/IKASAN/tags/ikasan-0.7.11
org.imixs.workflow:org.imixs.workflow.manik.orgunit; https://ix-workflow.dev.java.net/source/browse/ix-workflow/ 
org.hrodberaht.directus:parent-pom;scm:svn:http://java-simple-utils.googlecode.com/svn/tags/1.2.0
org.hrodberaht.inject.extension:tdd;scm:svn:https://injection-extensions.googlecode.com/svn/tags/1.0_RC2
org.highfaces:highfaces; http://highfaces.googlecode.com/svn/highfaces/trunk 
org.genesys-pgr:glis-client-okhttp-gson;git@gitlab.croptrust.org:genesys-pgr/glis-client.git/glis-client-parent/glis-client-okhttp-gson
org.genesys-pgr:genesys-client-common;git@gitlab.croptrust.org:genesys-pgr/genesys-client.git/genesys-client-common
org.gaixie.extjs-wrapped:extjs-wrapped;scm:git:ssh://bitorb@git.java.net/extjs-wrapped~git
org.freecompany.util:util-text;scm:svn:https://www.freecompany.org/svn/public/util/trunk/text
org.genesys-pgr:application-blocks;git@gitlab.croptrust.org:genesys-pgr/application-blocks.git
org.genesys-pgr:glis-client-resttemplate;git@gitlab.croptrust.org:genesys-pgr/glis-client.git/glis-client-parent/glis-client-resttemplate
org.genesys-pgr:file-repository;git@gitlab.croptrust.org:genesys-pgr/file-repository.git
org.freecompany.redline:redline;scm:svn:https://www.freecompany.org/svn/public/redline/trunk
org.genesys-pgr:geo-tools;git@gitlab.croptrust.org:genesys-pgr/geo-tools.git
org.freecompany.util:util-xml-editor;scm:svn:https://www.freecompany.org/svn/public/util/trunk/xml/editor
org.genesys-pgr:glis-client-resteasy;git@gitlab.croptrust.org:genesys-pgr/glis-client.git/glis-client-parent/glis-client-resteasy
org.genesys-pgr:glis-client-jersey2;git@gitlab.croptrust.org:genesys-pgr/glis-client.git/glis-client-parent/glis-client-jersey2
org.genesys-pgr:genesys-client-api;git@gitlab.croptrust.org:genesys-pgr/genesys-client-api.git
org.genesys-pgr:glis-client-project;git@gitlab.croptrust.org:genesys-pgr/glis-client.git
org.freeswitch.esl.client:java-esl-client;git://git.freeswitch.org/freeswitch-contrib.git
org.genesys-pgr:glis-client;git@gitlab.croptrust.org:genesys-pgr/glis-client.git
org.genesys-pgr:genesys-client-resttemplate;git@gitlab.croptrust.org:genesys-pgr/genesys-client.git/genesys-client-parent/genesys-client-resttemplate
org.freecompany.util:util-multicaster;scm:svn:https://www.freecompany.org/svn/public/util/trunk/text
org.fornax:fornax-parent; http://fisheye3.cenqua.com/browse/fornax/fornax-parent/tags/fornax-parent-5 
org.fosstrak.reader:reader-rprm-core;scm:svn:https://fosstrak.googlecode.com/svn/reader/tags/reader-0.5.0
org.fosstrak.reader:reader;scm:svn:https://fosstrak.googlecode.com/svn/reader/tags/reader-0.5.0
org.fornax.toolsupport:fornax-oaw-m2-plugin;scm:svn:https://svn.code.sf.net/p/fornax/code/fornax-toolsupport-oaw-m2-plugin/tags/fornax-oaw-m2-plugin-3.6.0
org.everit.osgi.bundles:org.everit.osgi.bundles.org.apache.felix.utils;scm:svn:https://svn.apache.org/repos/asf/felix/releases/org.apache.felix.utils-1.6.0
org.eviline:eviline-pom;git://git.eviline.org/eviline-pom.git
info.ineighborhood:cardme;scm:svn:https://sourceforge.net/projects/cardme/
org.eclipse.rap:org.eclipse.rap.rwt.q07; http://dev.eclipse.org/viewcvs/viewvc.cgi/org.eclipse.rap/runtime.rwt/org.eclipse.rap.rwt.q07/?root=RT_Project 
org.duineframework:duine-framework;scm:svn:https://duine.svn.sourceforge.net/svnroot/duine/proper/duine-framework/tags/duine-framework-4.0.0-RC1
org.duineframework:duine-recommender;scm:svn:https://duine.svn.sourceforge.net/svnroot/duine/proper/recommender/tags/duine-recommender-4.0.0-RC1
org.domeos:kubernetes-client-bom;scm:svn:http://svn.sonatype.org/spice/trunk/oss/oss-parenti-9/kubernetes-client-project
org.domeos:kubernetes-client-bom-with-deps;scm:svn:http://svn.sonatype.org/spice/trunk/oss/oss-parenti-9/kubernetes-client-project
org.dojofaces:dojofaces;scm:svn:https://dojofaces.svn.sourceforge.net/svnroot/dojofaces/tags/dojofaces-1.4_00
org.apache.uima:uimaj-as-activemq; http://svn.apache.org/viewvc/uima/uima-as/tags/uima-as-2.10.3/uimaj-as-activemq 
org.apache.uima:uimaj-as-jms; http://svn.apache.org/viewvc/uima/uima-as/tags/uima-as-2.10.3/uimaj-as-jms 
org.danvk:dygraphs-gwt;scm:svn:https://dygraphs-gwt.googlecode.com/svn/tags/dygraphs-gwt-2011.04.18
org.curjent:curjent;scm:git:git://curjent.git.sourceforge.net/gitroot/curjent/curjent/
