artifact;repository
top.chwei:agile-starter-message-mail;unknown
top.wu2020:wu-acw-server;unknown
top.dingwen.io:caffeine-spring-boot-starter;unknown
top.wdsf:SocialHelper;unknown
top.goodz:future-commons-core;unknown
top.wu2020:wu-acw-client-simple;unknown
top.rish.converter:dictionary-spring-boot-starter;unknown
top.wu2020:wu-acw-parent;unknown
tools.hone.android:honelibrary;unknown
top.crystalx:crystal-bom;unknown
top.rish.converter:dictionary-solon-plugin-core;unknown
top.cenze:cenze-message-queue-spring-boot-starter;unknown
top.crystalx:crystal-code-generator;unknown
top.rish.converter:dictionary-solon-plugin;unknown
top.crystalx:crystal-commons;unknown
top.netkit.starter:redis-spring-boot-starter;unknown
top.gotoeasy:gotoeasy-spring-boot-dependencies;unknown
top.coenocyte.wrench:19063-wrench-starter-dynamic-config-center;unknown
androidx.graphics:graphics-shapes-iosarm64;unknown
androidx.graphics:graphics-shapes-macosx64;unknown
androidx.room:room-runtime-iosx64;unknown
androidx.sqlite:sqlite-bundled-iosx64;unknown
androidx.graphics:graphics-shapes-iosx64;unknown
cn.idev.excel:fastexcel-core;unknown
com.itextpdf:layout;unknown
stratum:stratum;unknown
jcs:jcs;unknown
androidx.graphics:graphics-shapes-iossimulatorarm64;unknown
androidx.room:room-runtime-iossimulatorarm64;unknown
androidx.sqlite:sqlite-bundled-iossimulatorarm64;unknown
androidx.graphics:graphics-shapes-macosarm64;unknown
androidx.room:room-runtime-iosarm64;unknown
androidx.sqlite:sqlite-bundled-iosarm64;unknown
tech.codingzen:either-assertk;unknown
tech.neokred.plus:device_info;unknown
tech.atgc.net.http:RESTUtils;unknown
tech.habegger.json:json-events;unknown
tech.neokred:neokey;unknown
tech.hiddenproject.compaj:plugin-api;unknown
tech.mgl:mgl-boot-modules-ip;unknown
tech.neokred:neokey_library;unknown
tech.codingzen:kata-jackson;unknown
tech.checkhim:java-sdk;unknown
tech.atgc.net.http:RESTHandler;unknown
tech.neokred:card-details-library;unknown
statcvs:maven-statcvs-plugin;unknown
solutions.bitbadger.documents:scala;unknown
statcvs:statcvs-xml;unknown
solutions.bitbadger.documents:core;unknown
tablelayout:TableLayout;unknown
tanukisoft:wrapper;unknown
solutions.bitbadger.documents:kotlinx;unknown
solutions.bitbadger.documents:groovy;unknown
androidx.collection:collection-macosx64;unknown
jasperreports:jasperreports;unknown
androidx.annotation:annotation-iossimulatorarm64;unknown
net.sf.jacob-project:jacob;unknown
jgroups:jgroups-all;unknown
groovy:groovy-all;unknown
site.addzero:addzero-entity2form-core;unknown
site.addzero:addzero-dict-trans-core-iosarm64;unknown
site.addzero:tool-api-maven;unknown
site.addzero:addzero-compose-native-component-card-android;unknown
site.addzero:addzero-compose-native-component-tree-jvm;unknown
site.addzero:addzero-compose-native-component-iosarm64;unknown
sk.seges.corpis:corpis-payment;unknown
site.addzero:compose-native-component-form-jvm;unknown
site.addzero:addzero-compose-native-component-table-pro-jvm;unknown
site.addzero:addzero-entity2iso-processor-jvm;unknown
site.addzero:addzero-enum-processor-jvm;unknown
site.addzero:addzero-compose-native-component-form-iossimulatorarm64;unknown
site.addzero:tool-iosarm64;unknown
site.addzero:addzero-controller-advice-spring-boot-starter;unknown
site.addzero:addzero-compose-native-component-form-wasm-js;unknown
site.addzero:addzero-dict-trans-core;unknown
site.addzero:addzero-tool-model-jdbc-jvm;unknown
site.heaven96:req-filter-starter;unknown
site.addzero:tool-cte;unknown
site.addzero:addzero-compose-props-processor;unknown
site.addzero:addzero-compose-native-component-hook-iossimulatorarm64;unknown
site.addzero:mybatis-auto-wrapper-core;unknown
site.addzero:route-core-jvm;unknown
site.addzero.buildlogic.spring.spring-starter:site.addzero.buildlogic.spring.spring-starter.gradle.plugin;unknown
site.sorghum.feignless:feignless-demo-client;unknown
site.addzero:addzero-jimmer-model-lowquery;unknown
site.addzero.publish-buddy:site.addzero.publish-buddy.gradle.plugin;unknown
sk.seges.acris:acris-crypto;unknown
site.addzero:addzero-tool-json-macosarm64;unknown
site.addzero:addzero-compose-native-component-android;unknown
site.addzero:addzero-compose-native-component-select-wasm-js;unknown
site.addzero:addzero-compose-props-annotations-iossimulatorarm64;unknown
site.addzero:addzero-ksp-dsl-builder-core;unknown
site.addzero:addzero-ioc-core-jvm;unknown
site.addzero:addzero-compose-native-component-tree-android;unknown
site.addzero:addzero-compose-native-component-card-jvm;unknown
site.addzero:addzero-compose-native-component-table;unknown
site.addzero:addzero-compose-native-component-button-wasm-js;unknown
site.addzero:addzero-network-starter-iossimulatorarm64;unknown
site.addzero:addzero-tool-macosarm64;unknown
site.addzero:addzero-compose-props-processor-jvm;unknown
site.addzero:addzero-dict-trans-core-iossimulatorarm64;unknown
site.addzero:addzero-enum-processor;unknown
site.addzero:addzero-gradle-repo-budy;unknown
site.addzero:addzero-compose-native-component-high-level-iossimulatorarm64;unknown
site.addzero:addzero-kcp-plugin;unknown
site.addzero:addzero-route-processor;unknown
site.sorghum.anno:anno-admin-db-entity;unknown
site.addzero:addzero-compose-native-component-button-iossimulatorarm64;unknown
site.addzero:addzero-compose-native-component-table-core-wasm-js;unknown
site.addzero:addzero-apiprovider-processor-jvm;unknown
site.addzero:addzero-compose-model-component;unknown
site.addzero:addzero-compose-native-component-high-level-android;unknown
site.addzero:addzero-apiprovider-processor;unknown
site.addzero:addzero-jimmer-model-lowquery-iosarm64;unknown
site.addzero:tool-spctx;unknown
site.addzero:addzero-tool-spring;unknown
site.addzero:addzero-tool-koin;unknown
site.addzero:addzero-kotlinx-serialization-ext-wasm-js;unknown
site.addzero:addzero-jdbc2controller-processor-jvm;unknown
site.addzero:addzero-compose-klibs-component-iossimulatorarm64;unknown
site.addzero:addzero-jimmer-ext-dynamic-datasource;unknown
site.addzero:addzero-route-core-jvm;unknown
site.sorghum.ddl:sorghum-ddl-mybatis-flex;unknown
site.addzero:addzero-tool-json-iosarm64;unknown
site.addzero:addzero-compose-model-component-jvm;unknown
site.addzero:addzero-ksp-support-jvm;unknown
site.addzero:addzero-network-starter-iosarm64;unknown
site.addzero:addzero-ksp-easycode;unknown
sk.tuke.yajco:yajco-javacc-parser-generator-module;unknown
site.addzero:addzero-compose-native-component-assist-jvm;unknown
sk.tuke.yajco:yajco-model;unknown
site.addzero:addzero-compose-native-component-form;unknown
site.addzero:addzero-jimmer-ksp-autoddl-jvm;unknown
site.addzero:addzero-compose-native-component-jvm;unknown
site.addzero:addzero-compose-native-component-hook-jvm;unknown
site.addzero:apt-dict-processor;unknown
site.addzero:addzero-ioc-core-wasm-js;unknown
site.addzero:addzero-compose-native-component-form-iosarm64;unknown
site.addzero:addzero-compose-native-component-table-pro-wasm-js;unknown
site.addzero:addzero-compose-native-component-searchbar;unknown
site.addzero.spring.spring-test:site.addzero.spring.spring-test.gradle.plugin;unknown
site.addzero:addzero-jdbc2entity-processor;unknown
site.addzero:addzero-jdbc2controller-processor;unknown
site.addzero:addzero-ksp-dsl-builder-core-jvm;unknown
site.addzero:addzero-ioc-core-macosarm64;unknown
site.addzero:addzero-compose-native-component-searchbar-wasm-js;unknown
site.addzero.spring.spring-common:site.addzero.spring.spring-common.gradle.plugin;unknown
site.addzero:tool-ssh;unknown
site.addzero:addzero-tool-model-jdbc-macosarm64;unknown
site.addzero:addzero-compose-native-component-select-jvm;unknown
site.addzero:addzero-compose-native-component-tree-wasm-js;unknown
site.addzero:addzero-compose-native-component-tree-iosarm64;unknown
site.addzero:tool-jdbc-model-mingwx64;unknown
site.addzero:addzero-route-core-iossimulatorarm64;unknown
site.addzero:addzero-tool-cli-repl;unknown
site.addzero:tool-str;unknown
site.addzero:addzero-route-core-iosarm64;unknown
site.addzero:addzero-compose-native-component-select-iossimulatorarm64;unknown
site.addzero:addzero-ksp-dsl-builder-core-macosarm64;unknown
site.addzero:addzero-tool-str-macosarm64;unknown
site.sorghum.ddl:sorghum-ddl-mybatis-plus;unknown
site.addzero:addzero-compose-klibs-component;unknown
site.addzero:addzero-gradle-tool;unknown
site.addzero:addzero-gradle-publish-budy;unknown
site.addzero:addzero-compose-native-component-form-jvm;unknown
site.addzero:addzero-jimmer-ksp-autoddl;unknown
site.addzero:addzero-compose-native-component-high-level;unknown
site.addzero:addzero-ksp-dsl-builder-core-iossimulatorarm64;unknown
site.addzero:addzero-compose-native-component-assist-android;unknown
site.addzero:addzero-compose-native-component-table-core-jvm;unknown
site.addzero:addzero-jdbc2enum-processor-jvm;unknown
site.addzero:addzero-compose-klibs-component-wasm-js;unknown
site.addzero:addzero-ksp-support-jdbc;unknown
site.addzero:addzero-tool-str-iosarm64;unknown
site.addzero:addzero-ksp-dsl-builder-core-wasm-js;unknown
site.addzero:addzero-compose-native-component-assist;unknown
site.addzero:addzero-route-core;unknown
site.addzero:addzero-compose-props-annotations-jvm;unknown
site.addzero:addzero-compose-native-component-wasm-js;unknown
site.addzero:addzero-compose-native-component-button-android;unknown
site.addzero:addzero-compose-native-component-assist-iossimulatorarm64;unknown
site.addzero:addzero-compose-native-component-hook-android;unknown
site.addzero:addzero-tool-model-jdbc-iossimulatorarm64;unknown
site.addzero:addzero-compose-native-component-table-core;unknown
site.addzero:addzero-controller2iso2dataprovider-processor;unknown
site.addzero:addzero-compose-props-annotations;unknown
site.addzero:addzero-controller2iso2dataprovider-processor-jvm;unknown
site.addzero:addzero-entity2form-core-iossimulatorarm64;unknown
site.addzero:addzero-compose-native-component-table-pro-iossimulatorarm64;unknown
site.addzero:addzero-entity2iso-processor;unknown
site.addzero:addzero-compose-props-annotations-iosarm64;unknown
site.addzero:addzero-compose-native-component-table-iosarm64;unknown
site.addzero:addzero-tool-mqtt;unknown
site.addzero:addzero-network-starter;unknown
site.addzero:addzero-compose-native-component-card-iosarm64;unknown
site.addzero:addzero-dict-trans-core-wasm-js;unknown
site.addzero:addzero-jimmer-model-lowquery-wasm-js;unknown
site.addzero:addzero-tool-koin-mingwx64;unknown
site.addzero:addzero-jdbc2enum-processor;unknown
site.addzero:addzero-tool-koin-linuxx64;unknown
site.addzero:addzero-controller2api-processor;unknown
site.addzero:addzero-jdbc2entity-processor-jvm;unknown
site.addzero:addzero-tool-koin-macosx64;unknown
site.addzero:addzero-compose-native-component-hook;unknown
site.addzero:addzero-compose-native-component-high-level-jvm;unknown
site.addzero:addzero-entity2form-processor-jvm;unknown
site.addzero:addzero-ksp-support;unknown
site.addzero:addzero-compose-native-component-table-pro;unknown
site.addzero:tool-str-macosarm64;unknown
site.addzero:addzero-compose-native-component-hook-iosarm64;unknown
site.addzero:addzero-tool-model-jdbc-iosarm64;unknown
site.addzero:addzero-tool-io;unknown
site.addzero:addzero-dict-trans-core-jvm;unknown
site.addzero:addzero-compose-native-component-table-android;unknown
site.addzero:addzero-tool-json-wasm-js;unknown
site.addzero:addzero-entity2form-core-jvm;unknown
site.addzero:addzero-network-starter-android;unknown
site.addzero:addzero-tool-model-jdbc-wasm-js;unknown
site.addzero:addzero-compose-native-component-table-pro-android;unknown
site.addzero:tool-iossimulatorarm64;unknown
site.addzero:addzero-compose-native-component-table-core-iosarm64;unknown
site.addzero:addzero-entity2mcp-processor;unknown
site.addzero:addzero-route-core-wasm-js;unknown
site.addzero:tool-toml;unknown
site.sorghum.anno:anno-admin-amis;unknown
site.addzero:addzero-compose-native-component-table-pro-iosarm64;unknown
site.addzero:addzero-tool-str-iossimulatorarm64;unknown
site.addzero:addzero-kotlinx-serialization-ext-iossimulatorarm64;unknown
site.addzero:addzero-ioc-core-iosarm64;unknown
site.addzero:addzero-compose-native-component-assist-wasm-js;unknown
sk.seges.acris:acris-recorder;unknown
sk.seges.acris:acris-annotation-processors;unknown
site.addzero:addzero-ioc-core;unknown
site.addzero:addzero-ksp-dsl-builder-core-iosarm64;unknown
site.addzero:tool-expect-wasm-js;unknown
site.addzero:compose-native-component-searchbar-wasm-js;unknown
site.addzero:addzero-ioc-processor;unknown
site.addzero.buildlogic.jvm.kotlin-convention:site.addzero.buildlogic.jvm.kotlin-convention.gradle.plugin;unknown
site.addzero:addzero-gradle-modules-buddy;unknown
site.addzero:addzero-compose-klibs-component-iosarm64;unknown
site.addzero:json2kotlin-dataclass;unknown
site.addzero:addzero-ksp-dsl-builder-processor;unknown
site.addzero:addzero-compose-model-component-iosarm64;unknown
site.addzero:addzero-jimmer-scalar-provider-point;unknown
site.addzero:addzero-codegen-engine;unknown
site.addzero:addzero-ksp-easycode-jvm;unknown
site.addzero:addzero-compose-native-component-table-jvm;unknown
site.lianwu:mybatis-plus-query;unknown
sk.seges.sesam:sesam-model-domain-api;unknown
site.addzero:ksp-dsl-builder-core;unknown
site.addzero:addzero-tool-common-jvm;unknown
site.addzero:addzero-compose-native-component-card;unknown
site.addzero:addzero-compose-native-component-select;unknown
site.addzero:addzero-compose-native-component-searchbar-iosarm64;unknown
site.addzero:addzero-dict-trans-spring-boot-starter;unknown
site.addzero:addzero-entity2mcp-processor-jvm;unknown
site.addzero:addzero-compose-native-component-button;unknown
site.addzero:addzero-tool-api-jvm;unknown
site.addzero:addzero-jimmer-model-lowquery-macosarm64;unknown
site.addzero:addzero-compose-native-component-iossimulatorarm64;unknown
site.addzero:addzero-compose-native-component-assist-iosarm64;unknown
site.addzero:addzero-kcp-annotations-jvm;unknown
site.addzero:tool-str-iossimulatorarm64;unknown
site.addzero.buildlogic.spring.spring-convention:site.addzero.buildlogic.spring.spring-convention.gradle.plugin;unknown
site.addzero:addzero-compose-klibs-component-android;unknown
site.addzero:addzero-jimmer-model-lowquery-iossimulatorarm64;unknown
site.addzero:addzero-compose-native-component-table-iossimulatorarm64;unknown
site.sorghum.ddl:sorghum-ddl-mybatis;unknown
site.addzero:addzero-entity2form-core-macosarm64;unknown
site.sorghum.feignless:feignless-demo-spring-server;unknown
site.addzero:addzero-mybatis-auto-wrapper;unknown
site.addzero:addzero-compose-native-component-form-android;unknown
site.addzero:addzero-compose-native-component-searchbar-android;unknown
site.addzero:addzero-compose-native-component-high-level-iosarm64;unknown
site.addzero:addzero-compose-native-component-high-level-wasm-js;unknown
site.addzero:tool-ddlgenerator;unknown
site.addzero:addzero-compose-props-annotations-wasm-js;unknown
site.addzero:addzero-compose-native-component-table-core-macosarm64;unknown
site.addzero:addzero-compose-native-component-button-jvm;unknown
site.addzero:addzero-compose-native-component-card-wasm-js;unknown
site.addzero:addzero-tool-jdbc;unknown
site.addzero:addzero-network-starter-wasm-js;unknown
site.addzero:addzero-tool-excel;unknown
site.addzero:addzero-compose-native-component-table-core-iossimulatorarm64;unknown
site.addzero:addzero-ksp-dsl-builder-processor-jvm;unknown
site.addzero:addzero-tool-json;unknown
site.addzero:addzero-curllog-spring-boot-starter;unknown
site.addzero:addzero-compose-native-component-button-iosarm64;unknown
site.addzero:addzero-entity2analysed-support;unknown
site.addzero:addzero-compose-native-component-select-android;unknown
site.addzero:addzero-compose-native-component-tree;unknown
site.addzero:addzero-kcp-annotations;unknown
site.addzero:addzero-compose-native-component-searchbar-jvm;unknown
site.addzero:tool-macosarm64;unknown
site.addzero:addzero-jimmer-ext-lowquery;unknown
site.addzero:addzero-compose-model-component-macosarm64;unknown
site.addzero:addzero-entity2form-core-iosarm64;unknown
sk.seges.acris:acris-security-spring-jpa;unknown
site.addzero:addzero-compose-native-component-tree-iossimulatorarm64;unknown
site.addzero:addzero-tool-json-jvm;unknown
site.addzero:addzero-compose-klibs-component-jvm;unknown
so.dang.cool:pair;unknown
site.addzero:addzero-jimmer-model-lowquery-jvm;unknown
site.addzero:addzero-gradle-publish;unknown
site.addzero:addzero-compose-props-annotations-macosarm64;unknown
site.addzero:addzero-tool-jdbc-jvm;unknown
site.addzero:addzero-controller-autoconfigure;unknown
site.addzero:addzero-kotlinx-serialization-ext-iosarm64;unknown
site.addzero:addzero-dict-trans-core-macosarm64;unknown
site.addzero:addzero-compose-native-component-table-wasm-js;unknown
site.addzero:addzero-compose-native-component;unknown
site.addzero:addzero-ksp-easycode-jimmer;unknown
site.addzero:addzero-controller2api-processor-jvm;unknown
site.addzero:addzero-compose-native-component-select-iosarm64;unknown
site.addzero:addzero-tool-json-iossimulatorarm64;unknown
site.addzero:addzero-kotlinx-serialization-ext;unknown
site.addzero:addzero-entity2form-core-wasm-js;unknown
site.addzero:addzero-compose-native-component-searchbar-iossimulatorarm64;unknown
site.addzero:tool-str-iosarm64;unknown
site.addzero:addzero-entity2analysed-support-jvm;unknown
site.addzero:addzero-network-starter-jvm;unknown
site.addzero:addzero-compose-model-component-wasm-js;unknown
site.addzero:addzero-compose-model-component-iossimulatorarm64;unknown
site.addzero:addzero-tool-iossimulatorarm64;unknown
site.addzero:addzero-ksp-easycode-jimmer-jvm;unknown
site.addzero:addzero-tool-koin-jvm;unknown
site.addzero:addzero-ksp-support-jdbc-jvm;unknown
site.addzero:addzero-route-processor-jvm;unknown
site.addzero:addzero-ioc-processor-jvm;unknown
site.addzero:addzero-tool-koin-macosarm64;unknown
site.addzero:addzero-route-core-macosarm64;unknown
site.addzero:addzero-ioc-core-iossimulatorarm64;unknown
site.addzero:addzero-compose-native-component-hook-wasm-js;unknown
site.addzero:addzero-entity2form-processor;unknown
site.addzero:addzero-tool-iosarm64;unknown
site.addzero:addzero-tool-model-jdbc;unknown
site.addzero:addzero-kotlinx-serialization-ext-macosarm64;unknown
site.addzero:addzero-kotlinx-serialization-ext-jvm;unknown
site.addzero:addzero-compose-native-component-card-iossimulatorarm64;unknown
com.google.code.gwtx:gwtx;unknown
org.hibernate:hibernate-commons-annotations;unknown
androidx.annotation:annotation-linuxarm64;unknown
androidx.annotation:annotation-wasm-js;unknown
com.android.tools.apkparser:apkanalyzer;unknown
com.android.tools:sdklib;unknown
com.android.tools.layoutlib:layoutlib-api;unknown
se.vgregion.innovationsslussen:innovationsslussen-core-bc-module-portlet;unknown
se.vgregion.notifications:notifications-core-bc-composite-svc;unknown
se.vgregion.user-wizard:user-wizard-core-bc-module-portlet;unknown
sale.clear:sdk-behavior;unknown
se.vgregion.ews-services:ews-services-core-bc-composite-svc;unknown
se.skltp.aggregatingservices.clinicalprocess.logistics.logistics:GetAggregatedCareContacts-teststub;unknown
se.javasoft.development:external;unknown
se.swedenconnect.security:credentials-support;unknown
se.warting.firebase-compose:messaging;unknown
se.vgregion.notifications:notifications-core-bc-module-intsvc;unknown
servicemix:servicemix-jaxws;unknown
se.wollan:tolr;unknown
se.curity.identityserver:identityserver.sdk;unknown
se.alipsa:renjin-client-data-utils;unknown
se.alipsa.matrix:matrix-core;unknown
servicemix:servicemix;unknown
se.vgregion.vgr-custom-jsp-hook:vgr-custom-jsp-hook-core-bc-module-hook;unknown
se.vgregion.cs-iframe:cs-iframe-core-module-application;unknown
se.vgregion.tyck-till:tyck-till-core-bc-module-portlet;unknown
se.skltp.tk:tp-vagval-admin-schemas;unknown
run.iget:iget-common-tools;unknown
se.jguru.nazgul.core.algorithms.tree.model:nazgul-core-tree-model;unknown
se.telton.core.dependency:telton-core-dependency;unknown
se.vgregion.vgr-layouttpl:vgr-layouttpl-system;unknown
se.alipsa.matrix:matrix-bigquery;unknown
se.vgregion.commons-util:commons-util-system;unknown
se.alipsa.matrix:matrix-stats;unknown
androidx.compose.material3:material3-android;unknown
androidx.lifecycle:lifecycle-livedata-core-ktx;unknown
ca.juliusdavies:not-yet-commons-ssl;unknown
javax.faces:jsf-impl;unknown
net.sourceforge.jdatepicker:jdatepicker;unknown
org.apache.aries.proxy:org.apache.aries.proxy;unknown
org.apache.derby:derbyshared;unknown
org.apache.derby:derbytools;unknown
org.eclipse.jgit:org.eclipse.jgit.ssh.apache;unknown
org.opensaml:opensaml-storage-api;unknown
org.picocontainer:picocontainer;unknown
net.sourceforge.saxon:saxon;unknown
org.apache.tapestry:tapestry-test;unknown
